rok;kwartal;cena
2013;pierwszy;3566
2013;drugi;3719
2013;trzeci;3776
2013;czwarty;3710
2014;pierwszy;3702
2014;drugi;3738
2014;trzeci;3795
2014;czwarty;3773
2015;pierwszy;3806
2015;drugi;3882
2015;trzeci;3986
2015;czwarty;3966
2016;pierwszy;3897
2016;drugi;3970
2016;trzeci;4121
2016;czwarty;3972
2017;pierwszy;4030
2017;drugi;4178
2017;trzeci;4349
2017;czwarty;3983
2018;pierwszy;4226
2018;drugi;4491
2018;trzeci;4590
2018;czwarty;4581
2019;pierwszy;4666
2019;drugi;4791
2019;trzeci;4914
2019;czwarty;5014
2020;pierwszy;5222
2020;drugi;5270
2020;trzeci;5310
2020;czwarty;5314
2021;pierwszy;5719
2021;drugi;5960
2021;trzeci;6048
2021;czwarty;5868
